Wallet,Pending ORI,Pending JUMP,Formatted Pending ORI,Formatted Pending JUMP
0x0e98A7ee39d3a0cE585176238507d5C82F0101e0,400854217.31438076,80170843.46287616,4.0085421731438076e-10,8.017084346287615e-11
0x0E9DF83Ff1e3a21B11398eF8c35633Acb3Bf4751,400833110.31438076,80166622.06287615,4.0083311031438074e-10,8.016662206287615e-11
0x0eC349858C24f647a45Ef6CbcF84F900d5487Bd3,400848574.31438076,80169714.86287615,4.008485743143808e-10,8.016971486287615e-11
0x0eCDf3AE35513f4026e10eaf272B1fB288914583,400854217.31438076,80170843.46287616,4.0085421731438076e-10,8.017084346287615e-11
0x0EE3C0f4DEAB8Ba41cab4f5dD90569D4f1268f66,400853086.31438076,80170617.26287615,4.0085308631438075e-10,8.017061726287616e-11
0x0ef4041f51951A73b189B7BeDA152F85Ee494942,38867094405169180000,7773418881033836000,38.867094405169176,7.773418881033836
0x0EFcAf63dFF3482CA7D5F4eEdd5d4986149a1800,386910147685558100000,77382029537111620000,386.9101476855581,77.38202953711162
0x0f11796c594c7BDAcf600bbD46F10d2aEd2A37b5,32,6.4,3.2e-17,6.4000000000000006e-18
0x0f1d5F239B446AEAE7c93aE26228F206FaF536f3,122510230277579370000,24502046055515873000,122.51023027757938,24.502046055515873
0x0F1DfE0AEF43361E554325619f0a7d46C2c2Ee71,52316116374273360000,10463223274854672000,52.316116374273356,10.463223274854672
0x0f45f254c6e496c018Ba80fD5e2154D351afa024,400828366.31438076,80165673.26287615,4.0082836631438075e-10,8.016567326287615e-11
0x0F619cEAc7ba1B5ba9EB814629B2D6165B5E6cdC,400844148.31438076,80168829.66287616,4.0084414831438077e-10,8.016882966287616e-11
0x0F6A6477c2D01E10A34AecCC6a8ed72FA0F78F39,234620754892445200,46924150978489040,0.2346207548924452,0.04692415097848904
0x0f874471a9a20f27db364c0389D0262b4Cac9730,16080185110008033000,3216037022001606700,16.080185110008035,3.216037022001607
0x0FA4e5303aD58a3c9B62aD483128aeA83176189e,400847046.31438076,80169409.26287615,4.008470463143808e-10,8.016940926287616e-11
0x0FA699182DFa78f1A22f8aBd4c93923dce5d653a,452773583576200000000,90554716715240000000,452.7735835762,90.55471671523999
0x0FD64e6A71626d3eEFa46d03052a25d2C51f6249,4563197796564563500,912639559312912600,4.563197796564563,0.9126395593129126
0x0FE7d7f7Bfa5B9d60ec941aC3774be3C08E6B376,400853651.31438076,80170730.26287615,4.008536513143808e-10,8.017073026287615e-11
0x1002D9E169D5389574c381a2cf0f7e0D798e920f,19942968950296280000,3988593790059256300,19.94296895029628,3.9885937900592565
0x100847a7E1B7056a486D835d53C0A95032274F0E,331074126931295000000,66214825386259005000,331.074126931295,66.21482538625901
0x101eca0D2cEBd013380472B276cFfe33cb710D42,127304258444856400000,25460851688971280000,127.30425844485639,25.46085168897128
0x1035fEE7621a4a902D75094aBd2E378e64B4b6cE,427298115155164200000,85459623031032840000,427.2981151551642,85.45962303103283
0x1038A4116E7b8679A56B2BDb8D84D5FED3a4d4E5,254904033155268350,50980806631053670,0.25490403315526833,0.05098080663105367
